municipality,P_installed (kWp),P_installed (MW)
5711,5757.4281958028605,5757.4281958028605
5712,4963.757776200377,4963.757776200377
5713,4563.04920462706,4563.04920462706
5714,1597.993070484556,1597.993070484556
5715,1948.1379720314405,1948.1379720314405
5716,1848.2151830626306,1848.2151830626306
5717,6716.674716026592,6716.674716026592
5718,4168.739694920823,4168.739694920823
5719,2674.7682895867906,2674.7682895867906
572,5873.246894206646,5873.246894206646
5720,2255.081996465076,2255.081996465076
5721,9641.24526861268,9641.24526861268
5722,861.5865706522256,861.5865706522256
5723,3486.91088310597,3486.91088310597
5724,11922.25528261539,11922.25528261539
5725,5681.864418583968,5681.864418583968
5726,2390.1981866977726,2390.1981866977726
5727,4722.35753881708,4722.35753881708
5728,1023.5318849140833,1023.5318849140833
5729,3014.6946857075895,3014.6946857075895
573,12018.230095313105,12018.230095313105
5730,2807.0776487659723,2807.0776487659723
5731,2711.681547896695,2711.681547896695
5732,1435.750883526993,1435.750883526993
574,2286.748551220446,2286.748551220446
5741,743.5876642140096,743.5876642140096
5742,1077.4534818988723,1077.4534818988723
5743,1532.0821234581408,1532.0821234581408
5744,2329.063467753233,2329.063467753233
5745,2601.747250666296,2601.747250666296
5746,2026.6711600968022,2026.6711600968022
5747,544.9410860718217,544.9410860718217
5748,751.9456499538574,751.9456499538574
5749,7305.566824378603,7305.566824378603
575,1051.1768334466037,1051.1768334466037
5750,593.7329301806435,593.7329301806435
5752,850.2835741167106,850.2835741167106
5754,843.6047405189872,843.6047405189872
5755,1088.907714957246,1088.907714957246
5756,1365.3178603507224,1365.3178603507224
5757,8144.294638534658,8144.294638534658
5758,542.4930935882567,542.4930935882567
5759,548.6681360122166,548.6681360122166
576,26801.552200187878,26801.552200187878
5760,1530.611882659666,1530.611882659666
5761,1075.9548285545686,1075.9548285545686
5762,426.7094635571012,426.7094635571012
5763,1452.3561709024805,1452.3561709024805
5764,7489.336698429867,7489.336698429867
5765,1548.206286881033,1548.206286881033
5766,1457.9754041465076,1457.9754041465076
577,1533.5753441630172,1533.5753441630172
578,1061.5294432261346,1061.5294432261346
5785,1499.6549365377316,1499.6549365377316
579,2659.88667984037,2659.88667984037
5790,1618.7163094014804,1618.7163094014804
5792,1248.4932127194052,1248.4932127194052
5798,1017.1908075892653,1017.1908075892653
5799,4480.721486994553,4480.721486994553
58,8079.413329783483,8079.413329783483
580,2237.147713843942,2237.147713843942
5803,1701.3945683621962,1701.3945683621962
5804,4233.488286630978,4233.488286630978
5805,13655.76473648115,13655.76473648115
5806,6282.755642550872,6282.755642550872
581,9711.323778471608,9711.323778471608
