station,X,Y
SLFEGH,2649565.7343780296,1140793.6855071543
SLFEL2,2774580.234593771,1161652.2879601498
SLFELA,2773303.315962175,1161615.331070463
SLFEM2,2729043.3416204723,1199419.8829634478
SLFPAR,2780072.4659816558,1191472.2431805332
SLFRO2,2642880.8315660805,1179651.6170367603
SLFSI2,2718644.4764933125,1147316.1403409843
SLFSIM,2717364.510224161,1147291.0710788323
SLFSLF,2594455.9500113297,1129476.57718339
SLFTM2,2720496.362621916,1182562.6024932484
SLFTUM,2719223.887780722,1182537.1396943836
SLFVA2,2690344.99888403,1156090.198836177
SLFVD2,2594455.9500113297,1129476.57718339
SLFWFJ,2781399.1988566117,1189658.6766675585
TAE,2710139.4570871443,1260199.451071633
TGAMR,2741403.955235887,1266425.570287858
TGARE,2722275.899603063,1280827.1668640508
TGERM,2723527.4835328604,1280853.27783702
TIAIR,2690372.813754766,1154237.6491638017
TIBIO,2714467.000055077,1097201.9159590935
TICAB,2725058.160308767,1084438.429963844
TICAM,2715581.112937491,1106488.5667602473
TICHI,2704661.003179843,1141497.9257753752
TICMD,2689725.0243590046,1111609.9227151938
TICVM,2681799.1461621393,1126321.1946878466
BEGWA,2649337.5410594237,1168584.1645342417
BEHAB,2658175.7450512513,1177927.5972209037
BEHAK,2631442.3323347685,1175875.1433412319
BEINS,2575512.509937926,1205488.7672233265
BEKSE,2640471.658810802,1159253.8582677443
BELUA,2628751.960471078,1205507.157589469
BERIF,2593229.3477483992,1179502.5282796596
BRL,2537465.831433814,1203913.8904057853
CDF,2551503.957709457,1214900.6825862045
CHB,2514139.3584370166,1168997.2936823333
DLFRA,2677351.059953485,1543444.8174469029
DLFRH,2749762.2647635723,1283315.6930765843
DLFRS,2672374.591931499,1367127.2136903575
DLHAN,2753250.4707420315,1816614.935424651
DLHEC,2714448.488922575,1360387.2067716804
DLHEM,2808563.2751505403,1388977.710289759
DLHOL,2918613.589287403,1312308.2414834122
DLKON,2730995.6550592952,1282868.3047914396
DOL,2497085.2681791876,1141470.3255035784
FAH,2561868.110785191,1251885.3405195607
FLU,2644058.460220111,1192630.1678072996
FRU,2616195.292517086,1160992.457517938
GES,2681989.121506427,1206000.8683543971
GIH,2656796.8308591265,1189031.699730702
GLA,2723737.057211897,1210427.1291300706
GOE,2639886.212972734,1246336.6890493094
GOR,2626712.320945773,1092477.0000858072
GOS,2688820.1087017353,1172744.2406178624
GRA,2575405.6737616765,1179549.4156817954
GRH,2668595.6420721896,1157655.87018648
GRO,2733254.2547891214,1123529.9687473949
GUE,2690178.110277652,1167205.5381953004
GUT,2738720.3482580255,1273776.595637823
GVE,2499339.0205948036,1122902.1455546746
HLL,2677167.1195722455,1283770.5176574972
HOE,2712898.50310985,1247277.6772738162
ILZ,2735765.618507849,1182889.250626558
INNLUZ,2665450.453017548,1211355.5430985675
INT,2632756.597171022,1168470.9291643738
IYFRA,2913621.3071505036,1193276.4687137268
IYGAR,2888187.434384294,1166027.7515980015
IYGRS,2833645.7138305632,1187763.0176621831
IYGSP,2964191.561862711,1199855.9626001962
IYGSR,2962922.7579383967,1199778.7358224022
IYHIN,2852766.2609179616,1157015.1735199564
IYJAU,2895745.6918563466,1194220.6697654244
IYKAL,2892735.1536361515,1151408.2001174989
IYLAA,2845921.6718000476,1167857.247295203
IYLAI,2895656.3614251753,1144131.0964168133
JUN,2641774.78521416,1155557.1467095085
KOP,2612246.5922930236,1218420.833581974
LAC,2708234.566655434,1226804.4524110428
LAG,2627518.434156806,1198089.8699158626
LEI,2656005.8445792967,1272411.5609988803
LUG,2718374.912443744,1095423.677564892
LUZ,2665470.7862804104,1209502.777145732
MAR,2567377.237780308,1107329.0293789688
MMBIR,2659934.8035237114,1255771.1541369637
MMGTT,2664662.633364812,1166876.6913670811
MMHIR,2733880.0277591227,1153195.073356025
MMLAF,2603372.9852129715,1253615.973169486
MMLEN,2600872.7723836363,1144296.0410219703
MMLIN,2718928.917530952,1197356.7274039635
NABHAE,2628582.6382899373,1240712.3731671923
NABLAU,2538200.29518276,1152025.143782135
OTL,2703856.1078408225,1113688.625781192
SLFATT,2586700.284795955,1105402.817281444
SLFBOV,2584093.2879143204,1094292.3973849986
SLFBV2,2584088.4135442623,1092439.61048105
SLFDIA,2584185.896796262,1129494.861184082
SLFELS,2614936.5489916,1153578.1374264793
SLFEN1,2733952.465845554,1206941.2333280968
SLFEN2,2732685.172111386,1206912.9102284233
SLFES2,2614936.5489916,1153578.1374264793
SLFFA2,2604708.883705473,1151708.7976322854
SLFFAE,2603430.885677592,1149855.1907707641
SLFFIR,2648062.095654303,1168573.8273434443
SLFFIS,2617515.283002129,1146174.005157094
SLFFLU,2791863.171430937,1180716.400217137
SLFFN2,2563500.668605657,1105498.3762460179
SLFFNH,2563511.845094419,1107351.1142987735
SLFFO2,2571163.32383038,1090634.5458631457
SLFFOU,2569880.516068663,1092493.6031422063
SLFFRA,2708671.2250872357,1132303.6038805302
SLFFU2,2572573.2110724724,1116567.1488569267
SLFFUL,2575138.587475127,1114703.2580617312
SLFFUS,2690539.7040239503,1143122.3782542702
SLFGAD,2673457.0352229387,1178095.3041548473
SLFGL2,2721279.2658787104,1206670.1229294958
SLFGLA,2718744.5583666684,1206619.1331093747
SLFGO2,2661097.802860197,1140899.412098608
SLFGO3,2661022.772563064,1148310.0443370424
